id, width, length, height, weight
1, 1, 2, 3, 5
2, 1, 2, 3, 5
3, 1, 2, 3, 5
4, 1, 2, 3, 5
5, 1, 2, 3, 5
6, 1, 2, 3, 5
7, 1, 2, 3, 5
8, 1, 2, 3, 5
9, 1, 2, 3, 5
10, 1, 2, 3, 5
11, 1, 2, 3, 5
12, 1, 2, 3, 5
13, 1, 2, 3, 5
14, 1, 2, 3, 5
15, 1, 2, 3, 5
16, 1, 2, 3, 5
17, 1, 2, 3, 5
18, 1, 2, 3, 5
19, 1, 2, 3, 5
20, 2, 5, 3, 2
21, 1, 2, 3, 5
22, 1, 2, 3, 5
23, 1, 2, 3, 5
24, 1, 2, 3, 5
25, 1, 2, 3, 5
26, 1, 2, 3, 5
27, 1, 2, 3, 5
28, 1, 2, 3, 5
29, 1, 2, 3, 5
30, 1, 2, 3, 5
31, 1, 2, 3, 5
32, 1, 2, 3, 5
33, 1, 2, 3, 5
34, 1, 2, 3, 5
35, 1, 2, 3, 5
36, 1, 2, 3, 5
37, 1, 2, 3, 5
38, 1, 2, 3, 5
39, 1, 2, 3, 5
40, 2, 5, 3, 2
